workload	image	run1_ms	run2_ms	run3_ms	median_ms	status
python3 -c print(42)	docker.io/library/python:3.12	1865	1491	1513	1513	ok
g++ --version	docker.io/library/gcc:14-bookworm	712	566	571	571	ok
perl -e print	docker.io/library/perl:5	927	805	806	806	ok
dpkg -l | wc -l	docker.io/library/ubuntu:24.04	1381	983	981	983	ok
rpm -V bash	docker.io/library/fedora:42	2381	2329	2326	2329	ok
ruby -e puts	docker.io/library/ruby:3.3	3147	3154	2936	3147	ok
grep --version	docker.io/library/fedora:42	684	538	540	540	ok
python3 (fedora)	docker.io/library/fedora:42	411	300	303	303	exit127
go vet	docker.io/library/golang:1.23	1987	1534	1560	1560	ok
psql --version	docker.io/library/debian:bookworm	0	0	0	0	fail-setup
pacman -Sy	docker.io/library/archlinux	1658	1373	1373	1373	ok
file /usr/bin/bash	docker.io/library/fedora:42	410	298	301	301	exit127
rpm -qa | wc -l	docker.io/library/fedora:42	2429	2190	2184	2190	ok
git --version	docker.io/library/fedora:42	410	302	301	302	exit127
go env GOROOT	docker.io/library/golang:1.23	1253	1072	606	1072	exit2
cmake configure	docker.io/library/gcc:14-bookworm	18246	17721	18016	18016	ok
django-admin --version	docker.io/library/python:3.12	2561	2168	2552	2552	ok
cmake --version	docker.io/library/fedora:42	391	394	302	391	exit127
php -r echo	docker.io/library/php:8.3	2050	1845	1825	1845	ok
bash --version	docker.io/library/fedora:42	639	495	637	637	ok
perl regex 10k	docker.io/library/perl:5	1225	1223	1109	1223	ok
cargo --version	docker.io/library/rust:1.83	2060	1888	1874	1888	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:14-bookworm	6999	6584	6648	6648	exit1
yum --version	registry.access.redhat.com/ubi9/ubi	4167	3815	3786	3815	ok
g++ -O2 hello.cpp	docker.io/library/gcc:14-bookworm	5057	4851	4800	4851	exit1
ruff --version	docker.io/library/python:3.12	1016	801	808	808	ok
dnf --version	docker.io/library/fedora:42	3092	3129	3107	3107	ok
ansible --version	docker.io/library/python:3.12	3652	3217	3646	3646	ok
gcc hello.c	docker.io/library/gcc:14-bookworm	4598	4441	4332	4441	ok
