workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	350	334	112	112	116	112	ok
perl -e print	docker.io/library/perl:5-slim	220	60	61	61	60	60	ok
ruby -e puts	docker.io/library/ruby:3-slim	463	212	212	446	216	212	ok
rpm -V bash	docker.io/library/fedora:latest	428	165	164	164	163	163	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	494	225	231	226	464	225	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	297	71	71	70	70	70	ok
pacman -Sy	docker.io/library/archlinux:latest	413	111	112	378	107	107	ok
dnf repoquery --installed	docker.io/library/fedora:latest	602	295	282	289	287	282	ok
gcc hello.c	docker.io/library/gcc:latest	8724	7375	9029	7011	8070	7011	exit4
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	2270	2119	2079	2076	2089	2076	ok
cmake configure	docker.io/library/gcc:latest	86361	84165	84853	83709	82133	82133	exit1
django-admin startproject	docker.io/library/python:3-slim	1066	656	657	655	656	655	ok
ansible --version	docker.io/library/python:3-slim	1443	1441	1023	1030	1025	1023	ok
mypy type-check	docker.io/library/python:3-slim	1502	1110	1073	1060	1058	1058	exit2
perl regex 10k	docker.io/library/perl:5-slim	232	71	72	70	73	70	ok
cargo check	docker.io/library/rust:latest	11171	10879	10815	10759	10765	10759	ok
Rscript sum(1:1000)	docker.io/library/r-base:latest	4087	3134	3554	3145	3945	3134	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	5164	4720	4743	4751	4772	4720	ok
node -e console.log(42)	docker.io/library/node:lts-slim	19408	18621	19859	20254	18691	18621	exit132
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	8819	9553	9019	8621	8698	8621	exit139
