workload	image	run1_ms	run2_ms	run3_ms	run4_ms	run5_ms	run6_ms	run7_ms	run8_ms	run9_ms	run10_ms	min_ms	status
python3 -c print(42)	docker.io/library/python:3-slim	258	292	233	44	43	45	43	44	46	46	43	ok
perl -e print	docker.io/library/perl:5-slim	138	116	18	73	17	18	18	19	18	19	17	ok
ruby -e puts	docker.io/library/ruby:3-slim	473	627	129	132	131	130	132	138	135	136	129	ok
rpm -V bash	docker.io/library/fedora:latest	326	442	89	125	90	89	90	88	89	89	88	ok
rpm -qa | wc -l	docker.io/library/fedora:latest	382	537	159	161	160	159	160	162	160	160	159	ok
dpkg -l | wc -l	docker.io/library/ubuntu:latest	163	148	25	24	23	24	24	24	23	24	23	ok
pacman -Sy	docker.io/library/archlinux:latest	255	293	106	52	52	54	53	51	54	53	51	ok
dnf repoquery --installed	docker.io/library/fedora:latest	517	847	200	150	149	150	149	149	150	155	149	ok
gcc hello.c	docker.io/library/gcc:latest	626	1241	272	206	202	212	205	202	202	201	201	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:latest	2034	4350	914	833	837	823	830	825	837	880	823	ok
make hello	docker.io/library/gcc:latest	678	1389	297	267	233	231	232	231	227	229	227	ok
django manage.py check	docker.io/library/python:3-slim	1003	884	529	503	501	489	498	507	497	521	489	ok
ansible localhost ping	docker.io/library/python:3-slim	2893	2789	2275	2175	2105	1838	1797	1800	1769	2159	1769	ok
mypy type-check	docker.io/library/python:3-slim	3127	2205	2205	528	497	488	477	481	492	485	477	ok
perl regex 10k	docker.io/library/perl:5-slim	180	183	27	27	48	27	27	27	26	26	26	ok
rustc compile hello	docker.io/library/rust:latest	1893	2295	1762	1580	1514	1490	1490	1544	1493	1502	1490	ok
Rscript sum(1:1000)	docker.io/library/r-base:latest	1108	1056	738	718	655	671	592	655	576	675	576	ok
java HelloWorld	docker.io/library/eclipse-temurin:latest	606	666	530	530	526	554	606	531	528	539	526	ok
node -e console.log(42)	docker.io/library/node:lts-slim	546	1157	475	484	463	530	1128	469	461	487	461	ok
dotnet --info	mcr.microsoft.com/dotnet/sdk:latest	1343	1796	863	575	567	858	586	584	574	561	561	ok
