workload	image	run1_ms	run2_ms	run3_ms	median_ms	status
python3 -c print(42)	docker.io/library/python:3.12	136	120	118	120	ok
g++ --version	docker.io/library/gcc:14-bookworm	44	45	41	44	ok
perl -e print	docker.io/library/perl:5	61	56	57	57	ok
dpkg -l | wc -l	docker.io/library/ubuntu:24.04	76	73	74	74	ok
rpm -V bash	docker.io/library/fedora:42	221	185	181	185	ok
ruby -e puts	docker.io/library/ruby:3.3	256	229	225	229	ok
grep --version	docker.io/library/fedora:42	42	41	39	41	ok
python3 (fedora)	docker.io/library/fedora:42	23	24	25	24	exit127
go vet	docker.io/library/golang:1.23	233	202	205	205	ok
psql --version	docker.io/library/debian:bookworm	167	163	164	164	ok
pacman -Sy	docker.io/library/archlinux	135	112	108	112	ok
file /usr/bin/bash	docker.io/library/fedora:42	25	27	24	25	exit127
rpm -qa | wc -l	docker.io/library/fedora:42	215	211	211	211	ok
git --version	docker.io/library/fedora:42	24	25	25	25	exit127
go env GOROOT	docker.io/library/golang:1.23	77	66	66	66	ok
cmake configure	docker.io/library/gcc:14-bookworm	1355	1310	1319	1319	ok
django-admin --version	docker.io/library/python:3.12	339	241	258	258	ok
cmake --version	docker.io/library/fedora:42	25	28	24	25	exit127
php -r echo	docker.io/library/php:8.3	145	113	112	113	ok
bash --version	docker.io/library/fedora:42	37	37	38	37	ok
perl regex 10k	docker.io/library/perl:5	70	68	69	69	ok
cargo --version	docker.io/library/rust:1.83	164	150	147	150	ok
g++ -O2 hello.cpp (STL)	docker.io/library/gcc:14-bookworm	887	782	802	802	exit1
yum --version	registry.access.redhat.com/ubi9/ubi	472	364	356	364	ok
g++ -O2 hello.cpp	docker.io/library/gcc:14-bookworm	347	345	346	346	exit1
ruff --version	docker.io/library/python:3.12	62	61	60	61	ok
dnf --version	docker.io/library/fedora:42	255	222	285	255	ok
ansible --version	docker.io/library/python:3.12	592	533	537	537	ok
gcc hello.c	docker.io/library/gcc:14-bookworm	329	323	319	323	ok
valgrind --version	docker.io/library/debian:bookworm	70	69	65	69	ok
rustc --version	docker.io/library/rust:1.83	219	175	175	175	ok
mypy --version	docker.io/library/python:3.12	453	366	354	366	ok
java -version	docker.io/library/eclipse-temurin:21-jdk-jammy	362	339	336	339	ok
javac -version	docker.io/library/eclipse-temurin:21-jdk-jammy	760	732	764	760	ok
dotnet --version	mcr.microsoft.com/dotnet/sdk:8.0	542	518	526	526	ok
npm --version	docker.io/library/node:22-slim	708	690	675	690	ok
clang --version	docker.io/silkeh/clang:18-bookworm	267	194	194	194	ok
Rscript hello	docker.io/library/r-base:4.4.1	598	568	603	598	ok
ghc --version	docker.io/library/haskell:9.8-slim	133	109	107	109	ok
